Fighter,Current ELO
Antonio Carlos Junior,1016
Frankie Edgar,1016
Alexa Grasso,1016
Erick Montano,1016
Heather Jo Clark,1016
Charlie Brenneman,1016
Raquel Pennington,1016
Impa Kasanganay,1016
Bubba McDaniel,1016
Joe Ellenberger,1016
Bartosz Fabinski,1016
Nah-Shon Burrell,1016
Glaico Franca,1016
Nate Maness,1016
Mason Jones,1016
Ernest Chavez,1016
Clay Harvison,1016
Krzysztof Jotko,1016
Tiago Trator,1016
Karol Rosa,1016
Alejandro Perez,1016
Steven Siler,1016
Ning Guangyou,1016
Francis Carmont,1016
Jason Brilz,1016
Matthew Semelsberger,1016
Kazuki Tokudome,1016
Calvin Kattar,1016
Richard Walsh,1016
Li Jingliang,1016
Sarah Moras,1016
Shamar Bailey,1016
An Ying Wang,1016
Nick Maximov,1016
Aljamain Sterling,1016
Tafon Nchukwi,1016
Josh Koscheck,1016
TJ Waldburger,1016
John Gunderson,1016
Nick Catone,1016
Rick Story,1016
Leonardo Santos,1016
Mirko Cro Cop,1016
Makhmud Muradov,1016
Jim Miller,1016
Jim Alers,1016
Aaron Riley,1016
Hatsu Hioki,1016
Ricky Turcios,1016
Robert Whittaker,1016
Ian Loveland,1016
Luke Barnatt,1016
Zhang Lipeng,1016
John Maguire,1016
Nicolas Dalby,1016
Matheus Nicolau,1016
Taylor Lapilus,1016
Julian Erosa,1016
Patrick Walsh,1016
Akira Corassani,1016
Sean Brady,1016
Nadia Kassem,1015
Luke Jumeau,1015
Ryan Spann,1015
Chris Clements,1015
Sean O'Malley,1015
Gerald Meerschaert,1015
Giga Chikadze,1015
Elias Silverio,1015
Krzystof Jotko,1015
Luis Saldana,1015
